unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Dean Henderson,eng ENG,GK,27,38,38,3420,38.0,0,0,0,0,0,0,3,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Daniel Muñoz,co COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Tyrick Mitchell,eng ENG,DF,24,37,37,3092,34.4,0,5,5,0,0,0,2,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Maxence Lacroix,fr FRA,DF,24,35,35,3116,34.6,1,1,2,1,0,0,5,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Marc Guéhi,eng ENG,DF,24,34,34,3059,34.0,3,2,5,3,0,0,9,1,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Jean-Philippe Mateta,fr FRA,FW,27,37,33,2648,29.4,14,2,16,12,2,2,2,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Eberechi Eze,eng ENG,"MF,FW",26,34,31,2588,28.8,8,8,16,7,1,2,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Ismaila Sarr,sn SEN,MF,26,38,30,2711,30.1,8,6,14,8,0,0,4,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Jefferson Lerma,co COL,"MF,DF",29,33,26,2274,25.3,0,1,1,0,0,0,9,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Will Hughes,eng ENG,MF,29,33,24,2108,23.4,0,3,3,0,0,0,11,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Chris Richards,us USA,DF,24,24,22,1922,21.4,1,0,1,1,0,0,4,1,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Adam Wharton,eng ENG,MF,20,20,16,1318,14.6,0,2,2,0,0,0,2,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Daichi Kamada,jp JPN,MF,27,34,15,1564,17.4,0,0,0,0,0,0,4,1,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Trevoh Chalobah,eng ENG,DF,25,12,12,1060,11.8,3,0,3,3,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Eddie Nketiah,eng ENG,"FW,MF",25,29,9,1034,11.5,3,1,4,3,0,0,6,1,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Nathaniel Clyne,eng ENG,"DF,MF",33,13,5,483,5.4,0,0,0,0,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Justin Devenny,nir NIR,MF,20,23,4,507,5.6,1,1,2,1,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Cheick Doucouré,ml MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Ben Chilwell,eng ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Romain Esse,eng ENG,MF,19,7,1,138,1.5,1,1,2,1,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Odsonne Édouard,fr FRA,"MF,FW",26,2,1,115,1.3,0,0,0,0,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Joachim Andersen,dk DEN,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Chadi Riad,ma MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Joel Ward,eng ENG,DF,34,2,1,71,0.8,0,0,0,0,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Jeffrey Schlupp,gh GHA,"MF,DF",31,12,0,103,1.1,0,0,0,0,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Matheus França,br BRA,"MF,FW",20,4,0,55,0.6,1,0,1,1,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Jordan Ayew,gh GHA,"FW,MF",32,1,0,21,0.2,0,0,0,0,0,0,1,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Caleb Kporha,eng ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Asher Agbinone,eng ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Naouirou Ahamada,fr FRA,MF,22,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Rob Holding,eng ENG,DF,28,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Sam Johnstone,eng ENG,GK,31,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Zachariah Marsh,eng ENG,FW,18,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Remi Matthews,eng ENG,GK,30,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Kaden Rodney,eng ENG,"DF,MF",19,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Matt Turner,us USA,GK,30,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Franco Umeh-Chibueze,ie IRL,MF,19,0,0,,,,,,,,,,,Matches,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Squad Total,,,26.2,38,418,3420,38.0,49,38,87,46,3,4,80,4,,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
Opponent Total,,,26.1,38,418,3420,38.0,48,39,87,47,1,2,84,4,,Crystal Palace,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
